,real_fraud_mean,synthetic_fraud_mean,real_fraud_std,synthetic_fraud_std,mean_diff_pct
Time,81612.82558139534,81459.32083679798,47635.223867331326,48813.25168601813,0.2
V1,-4.78994688045141,-4.797300922458169,6.893561726686375,7.163492577217253,0.2
V2,3.7553546051702678,3.752858418413069,4.263411444588961,4.438608698735803,0.1
V3,-7.293848820700239,-7.265939056736638,7.24098593204042,7.569747775241082,0.4
V4,4.719634670768397,4.72578333246691,2.848071242663223,2.8241642247692904,0.1
V5,-3.272610836516128,-3.3430318778504886,5.39756629774526,5.67197260764967,2.2
V6,-1.3678293696045702,-1.4335713164406438,1.9044520056165524,1.8859250777943797,4.8
V7,-5.73944449728591,-5.789164559534342,7.256284838230077,7.678476636855231,0.9
V8,0.6350410743850592,0.3584433320668323,6.875356173648456,7.836321884567454,43.6
V9,-2.659734245030564,-2.667715355841338,2.467139272747656,2.5857726454396137,0.3
V10,-5.872855439742298,-5.893940231326139,4.985837163632945,5.232409650868824,0.4
V11,3.9034772928751504,3.9001287123543835,2.754873237026715,2.895600741229179,0.1
V12,-6.444304645907152,-6.427377711861649,4.788642595223787,5.040169858155675,0.3
V13,-0.13476045941655992,-0.15103767277912428,1.1113451501720513,1.1509802957226027,12.1
V14,-7.083066614239085,-7.059524523932024,4.287382340809005,4.494604407707527,0.3
V15,-0.14095422718695153,-0.11643950777691084,1.0651218839331968,1.116973782636406,17.4
V16,-4.232905180902042,-4.274976404513283,3.9105936070746465,4.133748867139109,1.0
V17,-6.744546687247448,-6.803911152057681,6.960533419981479,7.372121334644606,0.9
V18,-2.268127291795741,-2.3037493177103747,2.9015065269995644,3.0643992521951064,1.6
V19,0.6904745844001838,0.6968444133136855,1.552147173309776,1.6252642323819197,0.9
V20,0.364131766695111,0.25802088336468104,1.3687870487940872,1.350266311739801,29.1
V21,0.7067347743655368,0.685865350498968,3.9072192323623876,3.7267759658014166,3.0
V22,0.05320499078129882,0.08114281089204918,1.4907779409283002,1.3034137226840234,52.5
V23,0.012447496460998212,-0.05788363809498852,1.4214286565797871,1.5744336905509981,565.0
V24,-0.12013236056169811,-0.09735665437755957,0.5218917630963791,0.5417970149585236,19.0
V25,0.03727685458391537,0.03384687204782665,0.8010960323390581,0.8375858526641339,9.2
V26,0.06942474912447216,0.05234133920425325,0.46049593743642103,0.47227544969083435,24.6
V27,0.1776587472108152,0.36460372043835954,1.3643231561772633,1.4030248364063518,105.2
V28,0.08409723926814847,0.0867424479108151,0.5617992016314607,0.5863776946623683,3.1
Amount,118.65139534883721,128.1438207624081,261.1167892502664,216.58579934106473,8.0
