Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
37105,-2.723924,2.162845,-3.155307,6.646478,-3.968463,-1.475967,-5.223021,1.479724,-2.787706,-5.195666,5.494876,-8.865834,-0.423329,-8.650205,1.570791,-6.369922,-12.481823,-3.409874,2.660286,1.017729,0.987191,1.262188,-1.015804,-0.099451,-1.56667,0.356807,0.687192,0.415197,7.79,1
160932,0.120512,2.447911,-5.096265,4.316574,-1.518595,-0.32721,-2.623174,-0.835742,-1.872249,-4.252369,1.10908,-3.736661,0.336981,-1.341688,-1.873033,-1.131189,-2.067039,-0.466115,-1.10566,0.456586,1.019118,0.781344,0.138771,0.437885,-2.049158,-0.763574,-4.294623,0.094167,16.24,1
27722,-5.299044,5.932206,-4.412467,4.147801,-2.741681,-0.503048,-1.189731,0.570651,-2.684423,-4.075099,1.583148,-3.232432,-2.37766,-4.095469,-0.424627,0.018415,0.716111,0.609153,-1.789341,0.964305,1.037228,-0.291186,0.418554,-0.46397,1.414338,-0.053152,-0.498771,0.200708,12.71,1
98605,-4.486502,1.990759,-5.985112,5.917373,0.700124,-2.310535,-5.290985,-0.498069,-5.358996,-5.546395,2.719102,-7.537633,-0.267382,-3.097621,-1.673236,-5.319405,-7.291744,-4.466521,0.100771,-0.057586,-0.318207,1.19955,-0.300365,0.123306,-0.187775,0.198133,-0.062654,-0.096534,0.78,1
11920,-16.071511,3.842313,-9.621075,1.776794,-18.595622,-1.364887,-13.898657,2.561575,-1.906295,-9.460031,5.531586,-5.244151,-0.661206,-5.162134,-1.128801,-8.168198,-15.300838,-5.725823,1.412514,0.223446,22.702388,-1.21677,-0.206065,0.192235,1.028116,-0.111443,1.028779,0.329976,391.78,1
40564,-1.278231,4.108015,-5.934944,4.936253,0.082097,-2.460294,-5.81801,-1.010171,-3.516646,-6.24395,4.691615,-10.417109,-0.160132,-8.347178,0.069983,-4.771008,-7.947956,-3.567951,-0.359018,0.719834,-0.14498,2.573731,-0.197549,0.303289,-0.141741,-0.189374,0.368873,0.575619,0.4,1
27416,-5.192445,6.763153,-8.961021,6.567698,-3.518402,-1.160662,-4.185099,0.433834,-4.295889,-7.049127,6.464076,-13.119241,0.543287,-10.183491,-0.623669,-4.441837,-5.626075,-1.919488,0.595395,2.086001,0.860734,0.225097,-0.227899,-0.281819,0.589917,0.801989,1.034779,0.639105,7.74,1
83067,-15.821669,3.912913,-12.430866,6.405845,-7.453055,-1.561656,-20.500951,0.658569,-1.602542,-6.409422,2.38508,-5.131208,1.619939,-4.809406,0.855852,-5.286586,-8.091385,-3.216089,3.968165,0.32537,0.671872,0.339765,0.335088,-0.507249,-1.820725,-0.009515,0.085268,0.002734,374.55,1
131068,2.129283,-1.401225,1.29836,1.287506,1.894099,-0.374204,0.990812,1.382928,-2.048101,-2.440431,4.16971,-2.693848,-0.367574,-4.964735,0.266444,-3.124357,-5.779962,-2.390787,0.596686,-0.447035,0.311964,0.64661,-0.280692,-1.212286,0.72199,0.029713,-0.173211,-0.082659,306.73,1
50936,-5.420509,6.86434,-17.693744,6.445888,-7.72858,-2.663564,-6.99134,2.209137,-5.42668,-12.632392,8.686887,-15.361847,2.474338,-15.026261,1.150235,-11.849388,-18.597155,-6.979347,2.650493,0.537324,2.074918,-0.214111,-1.775971,0.120685,1.063462,0.012259,1.686053,0.485005,405.22,1
125234,1.054494,-1.136387,-1.755067,0.998963,1.982521,-1.240442,2.765066,0.308033,-0.979301,-1.957409,3.287283,-4.563507,-0.409078,-5.849357,0.731597,-2.823144,-3.017565,-0.243002,1.083793,0.407337,0.646858,0.223957,0.024483,0.062157,0.764765,-0.161496,0.648252,0.572617,120.58,1
81248,-4.340477,4.341497,-4.778828,3.617157,-2.017879,-0.634954,-3.957709,0.84971,-1.61094,-5.771203,4.272175,-5.829982,-0.924206,-8.967141,-1.062337,-3.630431,-4.509691,-0.309769,1.104316,-0.267175,1.802915,-1.02704,-0.527698,-0.191924,0.584091,0.140323,0.298184,0.497477,9.88,1
147366,-4.041007,4.598112,-8.244213,4.088306,-2.502187,-0.702484,-8.729771,-5.319887,-5.333298,-7.342876,5.324007,-8.154724,0.577734,-8.368369,0.356945,-8.228294,-16.192208,-5.504993,1.103607,0.434977,0.381277,1.315205,1.196605,0.350746,0.144835,-0.127073,-0.526222,-0.130539,10.48,1
44809,1.841208,1.597634,-1.695775,3.380612,1.913845,2.515234,-2.528761,-4.7154,-0.098941,-2.073278,5.023644,-5.696159,-1.882778,-4.684073,-0.136794,-1.883811,0.068759,0.096145,-0.506245,-1.981377,-0.372211,0.348321,0.639321,-0.96631,-1.028171,0.660492,0.373983,-0.139709,0.02,1
95719,-32.38263,9.713191,-26.478412,10.964248,-20.896975,0.372881,-42.649666,0.421423,-8.712423,-12.514578,9.187187,-10.2791,-0.040532,-7.545363,-0.446661,-13.714468,-25.011234,-9.928552,4.413795,0.25311,0.431047,1.574581,2.695176,-0.085527,0.231807,0.509449,1.096908,-0.500351,7.33,1
155171,0.20078,3.395458,-12.290732,8.91104,-0.619057,-1.445195,-4.788752,0.463338,-3.791892,-3.189022,3.185199,-6.681652,1.161038,-4.200364,-0.602201,-2.359975,-1.254275,-0.254741,-0.21424,0.87691,0.198969,0.833038,0.87454,-0.09842,-0.489304,0.348579,-0.074722,-0.098244,34.88,1
128831,-0.615581,2.259833,-8.677215,6.312255,1.622905,-2.163289,0.27662,0.07859,-3.394318,-7.023202,10.48046,-7.638788,-0.456272,-14.548078,-1.642783,-0.964644,0.457595,2.099966,-0.604682,-0.139604,0.192152,0.217256,-0.821259,-0.770976,0.518061,0.365565,0.740499,-6e-06,48.15,1
50770,0.244138,4.053135,-3.659215,5.048291,-9.62647,-0.632582,-3.358604,1.019968,-3.286288,-6.937125,4.50838,-7.074813,-0.800558,-7.095261,-1.435784,-5.280218,-11.593493,-3.579527,-0.334978,1.116673,0.793109,-0.014592,-0.688095,0.021248,0.373716,-0.419407,0.827651,-0.188184,77.3,1
65316,-2.233145,1.111102,-5.163381,5.632861,-2.139193,-3.435285,-2.036585,11.751659,-5.033218,-13.637743,6.667797,-9.664546,2.266737,-14.336197,0.908662,-6.835373,-12.535239,-2.911175,3.513167,0.83094,0.809827,0.716911,-0.916555,-0.538595,0.50968,0.736363,1.227003,-0.04084,47.27,1
